long,lat,PresObs,Phenofit_CRU,Phenofit_HadA2
-100.25,79.75,0,0,0
-99.75,79.75,0,0,0
-99.25,79.75,0,0,0
-98.75,79.75,0,0,0
-96.75,79.75,0,0,0
-96.25,79.75,0,0,0
-95.75,79.75,0,0,0
-95.25,79.75,0,0,0
-94.75,79.75,0,0,0
-94.25,79.75,0,0,0
-93.75,79.75,0,0,0
-93.25,79.75,0,0,0
-92.75,79.75,0,0,0
-92.25,79.75,0,0,0
-91.75,79.75,0,0,0
-91.25,79.75,0,0,0
-90.75,79.75,0,0,0
-90.25,79.75,0,0,0
-89.75,79.75,0,0,0
-89.25,79.75,0,0,0
-88.75,79.75,0,0,0
-88.25,79.75,0,0,0
-87.75,79.75,0,0,0
-87.25,79.75,0,0,0
-86.75,79.75,0,0,0
-86.25,79.75,0,0,0
-85.75,79.75,0,0,0
-85.25,79.75,0,0,0
-84.75,79.75,0,0,0
-84.25,79.75,0,0,0
-83.75,79.75,0,0,0
-83.25,79.75,0,0,0
-82.75,79.75,0,0,0
-82.25,79.75,0,0,0
-81.75,79.75,0,0,0
-81.25,79.75,0,0,0
-80.75,79.75,0,0,0
-80.25,79.75,0,0,0
-79.75,79.75,0,0,0
-79.25,79.75,0,0,0
-78.75,79.75,0,0,0
-78.25,79.75,0,0,0
-77.75,79.75,0,0,0
-77.25,79.75,0,0,0
-76.75,79.75,0,0,0
-76.25,79.75,0,0,0
-75.75,79.75,0,0,0
-75.25,79.75,0,0,0
-74.75,79.75,0,0,0
-74.25,79.75,0,0,0
-73.75,79.75,0,0,0
-73.25,79.75,0,0,0
-72.75,79.75,0,0,0
-72.25,79.75,0,0,0
-71.75,79.75,0,0,0
-71.25,79.75,0,0,0
-70.75,79.75,0,0,0
-64.75,79.75,0,0,0
-64.25,79.75,0,0,0
-63.75,79.75,0,0,0
-63.25,79.75,0,0,0
-62.75,79.75,0,0,0
-62.25,79.75,0,0,0
-61.75,79.75,0,0,0
-61.25,79.75,0,0,0
-60.75,79.75,0,0,0
-60.25,79.75,0,0,0
-59.75,79.75,0,0,0
-59.25,79.75,0,0,0
-58.75,79.75,0,0,0
-58.25,79.75,0,0,0
-57.75,79.75,0,0,0
-57.25,79.75,0,0,0
-56.75,79.75,0,0,0
-56.25,79.75,0,0,0
-55.75,79.75,0,0,0
-55.25,79.75,0,0,0
-54.75,79.75,0,0,0
-54.25,79.75,0,0,0
-53.75,79.75,0,0,0
-53.25,79.75,0,0,0
-52.75,79.75,0,0,0
-52.25,79.75,0,0,0
-51.75,79.75,0,0,0
-51.25,79.75,0,0,0
-50.75,79.75,0,0,0
-50.25,79.75,0,0,0
-49.75,79.75,0,0,0
-49.25,79.75,0,0,0
-48.75,79.75,0,0,0
-48.25,79.75,0,0,0
-47.75,79.75,0,0,0
-47.25,79.75,0,0,0
-46.75,79.75,0,0,0
-46.25,79.75,0,0,0
-45.75,79.75,0,0,0
-45.25,79.75,0,0,0
-44.75,79.75,0,0,0
-44.25,79.75,0,0,0
-43.75,79.75,0,0,0
-43.25,79.75,0,0,0
-42.75,79.75,0,0,0
-42.25,79.75,0,0,0
